order_id,order_date,outlet_id,outlet_location_type,outlet_size,outlet_type,outlet_establishment_year,item_id,item_type,item_fat_content,item_weight_kg,item_visibility,item_mrp,units_sold,sales,rating,customer_type
BLK-ORD-00071,2024-01-01,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0390,Breads,Regular,0.64,0.1617,98.21,1,89.21,3.7,New
BLK-ORD-00195,2024-01-01,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0205,Baking Goods,Regular,1.11,0.2322,144.91,1,138.82,4.9,Returning
BLK-ORD-00395,2024-01-01,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0799,Fruits and Vegetables,Low Fat,2.76,0.078,189.27,1,169.44,4.5,Returning
BLK-ORD-00415,2024-01-01,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0886,Health and Hygiene,Low Fat,1.19,0.0546,286.87,1,271.98,4.4,Returning
BLK-ORD-00875,2024-01-01,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0119,Breakfast,Regular,0.17,0.0371,152.32,1,140.13,3.7,Returning
BLK-ORD-01434,2024-01-01,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0622,Snack Foods,Regular,0.44,0.2047,59.85,1,58.22,4.4,Returning
BLK-ORD-02445,2024-01-01,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0576,Health and Hygiene,Low Fat,1.05,0.1476,395.17,2,748.98,4.6,Returning
BLK-ORD-05442,2024-01-01,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0556,Fruits and Vegetables,Low Fat,4.62,0.1841,30.24,2,59.30,4.4,Returning
BLK-ORD-05670,2024-01-01,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0378,Soft Drinks,Low Fat,2.06,0.053,115.34,1,105.02,4.2,Returning
BLK-ORD-06027,2024-01-01,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0544,Seafood,Regular,0.31,0.1859,425.02,2,768.28,4.3,Returning
BLK-ORD-06071,2024-01-01,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0901,Soft Drinks,Low Fat,2.0,0.0556,26.86,2,50.27,4.1,Returning
BLK-ORD-07882,2024-01-01,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0907,Health and Hygiene,Low Fat,0.46,0.122,134.85,1,128.04,3.4,Member
BLK-ORD-01028,2024-01-02,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0329,Baking Goods,Low Fat,1.26,0.0292,245.55,2,426.17,4.4,Member
BLK-ORD-01260,2024-01-02,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0131,Health and Hygiene,Low Fat,0.3,0.0666,71.64,2,122.24,3.5,Member
BLK-ORD-01325,2024-01-02,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0830,Fruits and Vegetables,Low Fat,4.36,0.1526,139.73,1,137.47,4.7,Returning
BLK-ORD-04437,2024-01-02,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0587,Snack Foods,Regular,0.67,0.2495,95.36,1,83.83,4.2,Returning
BLK-ORD-05207,2024-01-02,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0859,Soft Drinks,Low Fat,0.81,0.022,112.85,2,208.78,4.1,Returning
BLK-ORD-05283,2024-01-02,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0352,Fruits and Vegetables,Low Fat,1.63,0.0577,44.17,1,40.52,3.9,Returning
BLK-ORD-07640,2024-01-02,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0833,Health and Hygiene,Low Fat,0.15,0.0929,87.15,2,165.82,4.7,Member
BLK-ORD-00421,2024-01-03,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0393,Canned,Regular,1.12,0.1598,56.73,1,51.44,4.1,Member
BLK-ORD-00434,2024-01-03,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0244,Breads,Low Fat,0.55,0.0406,34.15,1,30.15,4.3,Member
BLK-ORD-00562,2024-01-03,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0693,Fruits and Vegetables,Low Fat,2.94,0.0319,76.85,1,67.90,3.8,Member
BLK-ORD-02499,2024-01-03,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0748,Dairy,Low Fat,0.58,0.0782,244.55,1,212.44,4.5,Member
BLK-ORD-03709,2024-01-03,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0045,Fruits and Vegetables,Low Fat,4.9,0.1134,36.18,1,35.25,4.2,Returning
BLK-ORD-05341,2024-01-03,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0016,Soft Drinks,Low Fat,0.57,0.1007,25.69,1,23.64,4.5,Member
BLK-ORD-05558,2024-01-03,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0654,Frozen Foods,Low Fat,0.4,0.0797,211.08,4,791.32,4.2,Member
BLK-ORD-05851,2024-01-03,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0789,Household,Low Fat,2.28,0.0477,222.6,2,409.08,4.1,Member
BLK-ORD-05991,2024-01-03,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0339,Snack Foods,Low Fat,0.36,0.2545,140.04,2,267.07,4.1,New
BLK-ORD-06238,2024-01-03,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0719,Health and Hygiene,Regular,0.96,0.0539,193.12,1,186.68,4.1,Returning
BLK-ORD-00193,2024-01-04,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0145,Household,Low Fat,3.01,0.0475,322.73,4,1221.82,4.3,Returning
BLK-ORD-00194,2024-01-04,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0113,Frozen Foods,Regular,0.79,0.0274,306.1,2,564.54,5.0,Returning
BLK-ORD-00649,2024-01-04,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0057,Snack Foods,Low Fat,0.91,0.1268,79.03,4,294.98,4.6,Returning
BLK-ORD-00984,2024-01-04,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0305,Frozen Foods,Low Fat,1.02,0.1391,149.06,2,285.39,4.0,Returning
BLK-ORD-02848,2024-01-04,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0420,Health and Hygiene,Low Fat,0.72,0.1115,74.93,1,63.78,4.8,Member
BLK-ORD-02854,2024-01-04,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0299,Fruits and Vegetables,Low Fat,4.07,0.0509,61.12,1,59.77,4.5,Returning
BLK-ORD-02934,2024-01-04,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0695,Snack Foods,Low Fat,0.94,0.0495,147.88,1,140.99,4.1,Returning
BLK-ORD-03840,2024-01-04,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0149,Baking Goods,Regular,1.71,0.0724,132.9,5,624.26,4.0,New
BLK-ORD-04152,2024-01-04,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0067,Dairy,Low Fat,0.43,0.0403,74.16,2,130.93,4.4,Member
BLK-ORD-04279,2024-01-04,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0074,Breads,Low Fat,0.16,0.098,45.99,3,133.58,4.7,New
BLK-ORD-06689,2024-01-04,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0449,Soft Drinks,Regular,0.69,0.0259,44.42,1,39.33,4.5,Returning
BLK-ORD-08400,2024-01-04,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0150,Canned,Low Fat,1.02,0.0504,59.24,3,157.53,4.1,Member
BLK-ORD-03230,2024-01-05,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0640,Household,Low Fat,3.85,0.0342,287.93,1,268.95,4.0,Member
BLK-ORD-03492,2024-01-05,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0561,Breakfast,Regular,0.87,0.0366,105.19,1,102.07,4.7,Returning
BLK-ORD-04335,2024-01-05,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0763,Soft Drinks,Low Fat,1.7,0.1073,57.31,1,50.85,3.9,Member
BLK-ORD-04361,2024-01-05,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0628,Dairy,Low Fat,0.15,0.0681,277.77,3,773.77,4.4,Member
BLK-ORD-04667,2024-01-05,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0138,Seafood,Low Fat,1.27,0.3,423.42,1,376.37,3.7,Returning
BLK-ORD-04771,2024-01-05,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0425,Household,Low Fat,2.35,0.0501,293.7,3,829.88,4.6,Returning
BLK-ORD-04983,2024-01-05,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0887,Health and Hygiene,Regular,1.13,0.2138,202.41,1,187.59,4.4,Member
BLK-ORD-05288,2024-01-05,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0154,Canned,Low Fat,0.26,0.1343,122.71,2,240.53,4.1,Returning
BLK-ORD-05968,2024-01-05,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0881,Fruits and Vegetables,Low Fat,3.93,0.1136,145.0,1,135.95,4.4,New
BLK-ORD-06052,2024-01-05,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0161,Canned,Low Fat,0.89,0.0245,208.78,2,370.87,4.7,Returning
BLK-ORD-06922,2024-01-05,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0218,Fruits and Vegetables,Low Fat,0.27,0.1021,164.27,4,645.52,4.1,Returning
BLK-ORD-08351,2024-01-05,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0140,Canned,Low Fat,0.65,0.0958,140.86,1,126.52,5.0,Member
BLK-ORD-00689,2024-01-06,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0066,Fruits and Vegetables,Low Fat,0.31,0.1141,25.15,1,22.89,4.2,Member
BLK-ORD-03507,2024-01-06,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0172,Snack Foods,Regular,0.91,0.0517,39.58,1,39.79,3.5,Returning
BLK-ORD-04417,2024-01-06,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0527,Fruits and Vegetables,Low Fat,1.08,0.1036,143.73,3,452.50,4.7,New
BLK-ORD-04542,2024-01-06,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0909,Snack Foods,Regular,0.52,0.1287,148.28,1,142.84,5.0,Member
BLK-ORD-04958,2024-01-06,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0287,Breads,Regular,0.63,0.1123,81.29,1,76.56,4.4,Returning
BLK-ORD-05342,2024-01-06,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0090,Breakfast,Low Fat,0.44,0.1844,299.34,1,268.17,2.8,Member
BLK-ORD-05468,2024-01-06,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0486,Snack Foods,Regular,0.82,0.0576,122.83,3,329.05,5.0,Member
BLK-ORD-06491,2024-01-06,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0774,Frozen Foods,Regular,1.0,0.1411,284.99,3,778.35,4.2,Returning
BLK-ORD-01065,2024-01-07,BLK-OUT-004,Tier 2,High,Supermarket Type1,2012,BLK-ITM-0894,Soft Drinks,Low Fat,1.15,0.0461,86.8,2,153.96,4.4,Member
BLK-ORD-01357,2024-01-07,BLK-OUT-008,Tier 3,High,Supermarket Type3,2010,BLK-ITM-0884,Breakfast,Low Fat,0.35,0.0402,75.69,1,77.25,4.4,Returning
BLK-ORD-01399,2024-01-07,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0387,Fruits and Vegetables,Regular,4.87,0.1722,113.33,2,215.61,4.9,New
BLK-ORD-01796,2024-01-07,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0585,Baking Goods,Low Fat,1.21,0.0261,88.54,4,337.69,4.2,Returning
BLK-ORD-01892,2024-01-07,BLK-OUT-011,Tier 3,Small,Supermarket Type1,2022,BLK-ITM-0017,Frozen Foods,Regular,1.53,0.1686,68.15,5,348.52,3.8,Returning
BLK-ORD-01935,2024-01-07,BLK-OUT-010,Tier 3,Small,Grocery Store,2021,BLK-ITM-0043,Baking Goods,Low Fat,1.57,0.1408,105.71,1,101.06,4.1,Member
BLK-ORD-02073,2024-01-07,BLK-OUT-003,Tier 1,Medium,Grocery Store,2018,BLK-ITM-0115,Household,Low Fat,1.8,0.0757,242.87,1,234.41,4.1,Member
BLK-ORD-03093,2024-01-07,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0838,Frozen Foods,Low Fat,1.91,0.2231,131.81,1,130.43,3.7,Member
BLK-ORD-04850,2024-01-07,BLK-OUT-002,Tier 1,Medium,Supermarket Type2,2015,BLK-ITM-0634,Fruits and Vegetables,Low Fat,1.62,0.0335,140.17,1,129.80,4.7,Returning
BLK-ORD-06164,2024-01-07,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0753,Snack Foods,Low Fat,0.96,0.137,43.34,3,129.31,4.2,New
BLK-ORD-06871,2024-01-07,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0763,Soft Drinks,Low Fat,1.7,0.1073,57.31,1,53.04,4.4,Returning
BLK-ORD-08117,2024-01-07,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0178,Frozen Foods,Regular,0.5,0.0298,67.64,3,184.84,4.1,Member
BLK-ORD-08376,2024-01-07,BLK-OUT-007,Tier 2,Small,Supermarket Type1,2019,BLK-ITM-0769,Meat,Low Fat,2.29,0.0957,447.33,3,1341.91,4.4,Returning
BLK-ORD-08474,2024-01-07,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0787,Snack Foods,Regular,0.1,0.091,49.54,2,93.60,3.7,Returning
BLK-ORD-01007,2024-01-08,BLK-OUT-005,Tier 2,Medium,Supermarket Type2,2016,BLK-ITM-0290,Soft Drinks,Low Fat,2.02,0.1769,27.8,2,51.95,3.9,Returning
BLK-ORD-01615,2024-01-08,BLK-OUT-006,Tier 2,Small,Grocery Store,2020,BLK-ITM-0089,Frozen Foods,Regular,0.39,0.1105,96.82,1,89.25,3.8,Member
BLK-ORD-01995,2024-01-08,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0645,Dairy,Regular,0.27,0.0659,179.44,4,657.05,3.7,New
BLK-ORD-02111,2024-01-08,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0623,Fruits and Vegetables,Low Fat,2.23,0.0339,82.48,1,78.75,4.5,Member
BLK-ORD-03272,2024-01-08,BLK-OUT-001,Tier 1,High,Supermarket Type1,2011,BLK-ITM-0624,Meat,Regular,0.53,0.1921,199.19,1,198.69,3.9,New
BLK-ORD-03376,2024-01-08,BLK-OUT-009,Tier 3,Medium,Supermarket Type2,2017,BLK-ITM-0914,Dairy,Regular,0.91,0.1429,56.7,1,52.79,3.5,Returning
